;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Rapport d'inventaire;;;;;;;;;;;;;;Date : 2026-07-09;;
;;;;;;;;;;;;;;;;;;;;;;Page : 1/1;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
De;2026-06-01;;;À;;2026-07-09;;;;;Médicaments externes;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Nom;;Conc.;;;;;DIN;;;# Prod.;;Mfr;Qté Dist.;Qté Inv.;# Cont.;Coût;Total;;;No. d'identification;Code UPC;;Classe AHFS;
AA THEO LA;;100 MG;;;;;00692689;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;00692689;660933002672;;Autres médicaments;
ABILIFY;;2 MG;;;;;02322374;;;_;;OTSUKA;0;0;Ext.;3.10;0.00;;;02322374;694785060016;;Autres médicaments;
ABILIFY;;30 MG;;;;;02322455;;;_;;OTSUKA;0;0;Ext.;0.00;0.00;;;02322455;694785060061;;Autres médicaments;
ABILIFY;;20 MG;;;;;02322412;;;_;;OTSUKA;0;0;Ext.;0.00;0.00;;;02322412;694785060054;;Autres médicaments;
ABILIFY;;15 MG;;;;;02322404;;;_;;OTSUKA;0;0;Ext.;0.00;0.00;;;02322404;694785060047;;Autres médicaments;
ABILIFY;;10 MG;;;;;02322390;;;_;;OTSUKA;0;0;Ext.;0.00;0.00;;;02322390;694785060030;;Autres médicaments;
ABILIFY;;5 MG;;;;;02322382;;;_;;OTSUKA;0;0;Ext.;3.49;0.00;;;02322382;694785060023;;Autres médicaments;
ABIRATERONE;;500 MG;;;;;02525380;;;_;;JAMPPHARMA;0;0;Ext.;0.00;0.00;;;02525380;622082297156;;Autres médicaments;
ACARIZAX;;6-6 UI;;;;;02463644;;;_;;ALK ABELLO;0;0;Ext.;0.00;0.00;;;02463644;999999999999;;Autres médicaments;
ACCEL DULOXETINE;;60 MG;;;;;02522888;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02522888;627618001511;;Autres médicaments;
ACCEL DULOXETINE;;30 MG;;;;;02522861;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02522861;627618001498;;Autres médicaments;
ACCEL ENTECAVIR;;0.5 MG;;;;;02479907;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02479907;627618001306;;Autres médicaments;
ACCEL HYOSCINE PLAQ;;10 MG;;;;;02512335;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02512335;627618001436;;Autres médicaments;
ACCEL LEFLUNOMIDE;;20 MG;;;;;02478870;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02478870;627618001177;;Autres médicaments;
ACCEL LEFLUNOMIDE;;10 MG;;;;;02478862;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02478862;627618001153;;Autres médicaments;
ACCEL ONDANSETRON;;8MG;;;;;02478935;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02478935;627618001191;;Autres médicaments;
ACCEL ONDANSETRON;;4 MG;;;;;02478927;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02478927;627618001184;;Autres médicaments;
ACCEL RIZATRIPTAN ODT;;5 MG;;;;;02483270;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02483270;627618001092;;Autres médicaments;
ACCEL RIZATRIPTAN ODT PLAQ;;10 MG;;;;;02483289;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02483289;627618001108;;Autres médicaments;
ACCEL SILDENAFIL;;100 MG;;;;;02479826;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02479826;627618001139;;Autres médicaments;
